                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        450                         537     1.0000000000000000E+000     2.0000000000000000E-002     8.4989238131278753E+008     5.9019951246513265E+004     2.7422498732936115E+003     1.5326419103212839E-004     5.4924376420299729E-002     5.6135919332504276E+000     7.4000000000000044E-001     2.5540830215261646E-005     2.3997445916978447E-001     3.4416106108120363E-003     1.0081585468366045E-003     9.3604466091399760E-003     2.0994599496976488E-003     1.6550463746084135E-004    -1.3961970800630817E-011     1.1345082216042485E-005     3.9157137656503378E-010     3.6790945527453130E-006     5.2763993696306461E-008     1.5456272433334052E-008     1.4350680589130963E-007     3.2187223971092255E-008     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.6550462546273284E-004     5.2250088198064294E-002     1.6550457030974807E-004     5.0226049275641602E-002     1.0017888420720043E+004     7.6382530368091233E+004     1.0798650118222790E+010     3.8247093972065996E-032     3.8247093972065996E-032     0.0000000000000000E+000     1.5309098988565144E-033     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45                          46                          47                          48                          49                          50                          51                          52                          53                          54                          55                          56                          57                          58                          59                          60                          61                          62                          63                          64                          65                          66                          67                          68                          69                          70                          71                          72                          73                          74                          75                          76                          77                          78                          79                          80                          81                          82                          83                          84                          85                          86                          87 
                       zone                        logT                      logRho                        logP                        logR                  luminosity                        logL                    velocity                     entropy            conv_mixing_type                      csound                v_div_csound                     v_div_r                         eta                          mu                       logdq                    dq_ratio                           q                      radius                 temperature                         tau                      logtau                    pressure             pgas_div_ptotal                     logPgas                      energy                       grada                          cv                          cp                      gamma1                      gamma3                         gam                      free_e                      chiRho                        chiT                        abar                          ye                 log_opacity                     eps_nuc                 non_nuc_neu                    logPvisc                    eps_grav           mlt_mixing_length                   log_D_mix                log_conv_vel         conv_vel_div_csound               log_mlt_D_mix       pressure_scale_height                       gradT                       gradr                     dlnd_dt                     dlnT_dt                        mass                        mmid                       logxq                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                          pp                         cno                    tri_alfa                      burn_c                      burn_n                      burn_o                     burn_ne                     burn_na                     burn_mg                     burn_si                      burn_s                     burn_ar                     burn_ca                     burn_ti                     burn_cr                     burn_fe                     c12_c12                     c12_o16                     o16_o16                       pnhe4                       photo                       other             gradr_sub_grada                        logQ 
                          1     3.4381071224470099E+000    -6.5906718241081599E+000     4.4691259571949384E+000    -1.2602348651085935E+000     1.5326419103212839E-004    -3.8145593027696716E+000     5.1512648536650510E-004     1.3548040375409373E+001                           1     3.5968764121345774E+005     1.4321495273750640E-009     1.3475720206086733E-013    -2.0000000000000000E+001     2.0750482940673818E+000    -1.2301029995664290E+001     1.0000000000000000E+000     1.0000000000000000E+000     5.4924376420299729E-002     2.7422504880429219E+003     6.6666666666666663E-001    -1.7609125905568127E-001     2.9452757198894429E+004     9.9999515789433824E-001     4.4691238542900784E+000     5.8306416760412756E+011     7.5326592065393910E-002     1.1208792918400004E+009     1.3539935472000005E+009     1.1273356741666793E+000     1.0849077385663985E+000     5.7727456833566482E-001     1.1784470068504981E-005     9.3247292220592481E-001     2.2812346529960630E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4680461883605820E+000     1.1696276091402370E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7642512810512082E+004     1.5263654466855207E+008    -9.8999999999999986E+001     4.6219727701049855E+000     1.1642527013928104E-001     1.2327131933955787E+001     1.0965584116537262E-003     1.0575158569347531E-001     1.2500039937135940E-001     0.0000000000000000E+000    -3.4425879875854231E-013     1.6550463746084135E-004     1.6550463746083750E-004    -9.8999999999999986E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1696276091402368E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9673807305965489E-002    -1.4668860690021788E+000 
                          2     3.4381074388625126E+000    -6.5906694633078491E+000     4.4691289492552997E+000    -1.2602349018693846E+000     1.5326406646595759E-004    -3.8145596557446377E+000     5.1512626804367978E-004     1.3548071126039487E+001                           1     3.5968792163940496E+005     1.4321485796191461E-009     1.3475715661566709E-013    -2.0000000000000000E+001     2.0750455749034873E+000    -1.1948847477552926E+001     4.4444444444444359E-001     9.9999999999949996E-001     5.4924371771234354E-002     2.7422524859750151E+003     6.6666949313795265E-001    -1.7608941777826032E-001     2.9452960113586163E+004     9.9999515791358651E-001     4.4691268463587992E+000     5.8306752617586584E+011     7.5326553210616098E-002     1.1208830739200003E+009     1.3539984496000004E+009     1.1273357933759689E+000     1.0849076193571090E+000     5.7727519375964853E-001     1.1784626229142379E-005     9.3247258245944975E-001     2.2812391614913938E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4680434465469223E+000     1.1696339718977078E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7642526007183253E+004     1.5263658709422898E+008     1.2337942387727059E+001     4.6219744052324376E+000     1.1642561771381896E-001     1.2327133594489355E+001     1.0965598198991655E-003     1.0575158190453822E-001     1.2500069348859133E-001     0.0000000000000000E+000    -3.4425840759244878E-013     1.6550463746083368E-004     1.6550463746082503E-004    -1.2301029995664290E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1696339718977076E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9674113378513671E-002    -1.4668843410328734E+000 
                          3     3.4381080230093923E+000    -6.5906645284068492E+000     4.4691344730090972E+000    -1.2602349845807497E+000     1.5326378619207325E-004    -3.8145604499393597E+000     5.1512577906989341E-004     1.3548042571880659E+001                           1     3.5968820352193486E+005     1.4321460262961344E-009     1.3475705436447869E-013    -2.0000000000000000E+001     2.0750439971685402E+000    -1.1726998727936571E+001     6.0000000000000087E-001     9.9999999999837497E-001     5.4924361310891151E-002     2.7422561744384375E+003     6.6667585274024543E-001    -1.7608527490531084E-001     2.9453334725610202E+004     9.9999515794912097E-001     4.4691323701280288E+000     5.8306927775654797E+011     7.5326574258506293E-002     1.1208841056000004E+009     1.3540001600000005E+009     1.1273360317945480E+000     1.0849077385663985E+000     5.7727660383026591E-001     1.1784776772428337E-005     9.3247249871492377E-001     2.2812407338619236E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4680404663146835E+000     1.1696472724052043E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7642340990501460E+004     1.5263676016108853E+008     1.2337950546744976E+001     4.6219810174129234E+000     1.1642729907745211E-001     1.2327140506645852E+001     1.0965608890278181E-003     1.0575165812691839E-001     1.2500202093284268E-001     0.0000000000000000E+000    -3.4425768544561730E-013     1.6550463746081641E-004     1.6550463746080205E-004    -1.1789146634685414E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1696472724052042E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9675459829267771E-002    -1.4668805744256339E+000 
                          4     3.4381088748786035E+000    -6.5906577421413930E+000     4.4691425283676773E+000    -1.2602351224319488E+000     1.5326331906893501E-004    -3.8145617736004507E+000     5.1512496412032074E-004     1.3548073839333689E+001                           1     3.5968881273885100E+005     1.4321420195358914E-009     1.3475688394716273E-013    -2.0000000000000000E+001     2.0750393909215918E+000    -1.1602059991328270E+001     7.4999999999999767E-001     9.9999999999650002E-001     5.4924343877126310E-002     2.7422615533828907E+003     6.6668645215551858E-001    -1.7607837015399497E-001     2.9453881035505561E+004     9.9999515800094108E-001     4.4691404255091145E+000     5.8307363170846899E+011     7.5326543636620030E-002     1.1208889520000005E+009     1.3540066070400004E+009     1.1273365563154218E+000     1.0849077510833740E+000     5.7727847833696289E-001     1.1785071289882675E-005     9.3247209936380371E-001     2.2812469816207885E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4680354595245224E+000     1.1696655629431416E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7642195306866597E+004     1.5263698377057788E+008     1.2337960377436751E+001     4.6219899228212169E+000     1.1642948929646255E-001     1.2327150082395333E+001     1.0965633972677149E-003     1.0575177014457966E-001     1.2500394038299770E-001     0.0000000000000000E+000    -3.4425663232923120E-013     1.6550463746078768E-004     1.6550463746076852E-004    -1.1455931955650033E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1696655629431416E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9677379248156933E-002    -1.4668754918986000E+000 
                          5     3.4381103351989117E+000    -6.5906462694802332E+000     4.4691563372295899E+000    -1.2602353062306964E+000     1.5326269623808692E-004    -3.8145635384881733E+000     5.1512387753847595E-004     1.3548099680258497E+001                           1     3.5968984854544490E+005     1.4321362378093556E-009     1.3475665672760102E-013    -2.0000000000000000E+001     2.0750330942869177E+000    -1.1301029995664289E+001     5.0000000000000100E-001     9.9999999999400002E-001     5.4924320632475723E-002     2.7422707742851512E+003     6.6670058488261208E-001    -1.7606916387671662E-001     2.9454817568340179E+004     9.9999515808977169E-001     4.4691542344096060E+000     5.8308042126925793E+011     7.5326515510678288E-002     1.1208956592000003E+009     1.3540160480000005E+009     1.1273369848728179E+000     1.0849077129364013E+000     5.7728162051907927E-001     1.1785527887969738E-005     9.3247147291898713E-001     2.2812557351589202E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4680269956649645E+000     1.1696964850403767E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7641896801259871E+004     1.5263738314947602E+008     1.2337974319891025E+001     4.6220027518407978E+000     1.1643259336939958E-001     1.2327163990640821E+001     1.0965683678657045E-003     1.0575190561451403E-001     1.2500659688805055E-001     0.0000000000000000E+000    -3.4425482702012165E-013     1.6550463746074933E-004     1.6550463746071103E-004    -1.1221848749616663E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1696964850403767E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9680062626744431E-002    -1.4668669398780558E+000 
                          6     3.4381137424862724E+000    -6.5906198409420149E+000     4.4691885563090787E+000    -1.2602356738185236E+000     1.5326145057640363E-004    -3.8145670682850978E+000     5.1512170443441662E-004     1.3548112342329580E+001                           1     3.5969249397925910E+005     1.4321244372577895E-009     1.3475620230042765E-013    -2.0000000000000000E+001     2.0750183677673331E+000    -1.0903089986992251E+001     4.0000000000000024E-001     9.9999999998900002E-001     5.4924274144426764E-002     2.7422922890443560E+003     6.6672885092354994E-001    -1.7605075152541136E-001     2.9457002819019290E+004     9.9999515829702479E-001     4.4691864535791037E+000     5.8309509054930957E+011     7.5326466411352141E-002     1.1209104585600004E+009     1.3540362160000005E+009     1.1273385363817214E+000     1.0849077737331390E+000     5.7728880141809313E-001     1.1786571189664113E-005     9.3247009485959986E-001     2.2812751483917237E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4680075645507680E+000     1.1697677206079243E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7641168722595805E+004     1.5263825364834228E+008     1.2338002765744278E+001     4.6220284963399072E+000     1.1643863919135149E-001     1.2327191652251354E+001     1.0965811324453604E-003     1.0575220817112353E-001     1.2501186096001743E-001     0.0000000000000000E+000    -3.4425061478882322E-013     1.6550463746067267E-004     1.6550463746057688E-004    -1.0958607314842082E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1697677206079243E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9685359477718030E-002    -1.4668473259145607E+000 
                          7     3.4381186096081935E+000    -6.5905826873294018E+000     4.4692345798090480E+000    -1.2602365927362542E+000     1.5325833642226754E-004    -3.8145758929027211E+000     5.1511627199520471E-004     1.3548154075566103E+001                           1     3.5969652864775143E+005     1.4320937786795264E-009     1.3475506629657933E-013    -2.0000000000000000E+001     2.0749955785274499E+000    -1.0903089986992253E+001     1.0000000000000011E+000     9.9999999997650002E-001     5.4924157931032266E-002     2.7423230219830889E+003     6.6679951939698878E-001    -1.7600472186639426E-001     2.9460124632125218E+004     9.9999515859306254E-001     4.4692324772076413E+000     5.8311544353542834E+011     7.5326368361711485E-002     1.1209351606400003E+009     1.3540697667200003E+009     1.1273408025503158E+000     1.0849077379703522E+000     5.7729879407881501E-001     1.1788167680719242E-005     9.3246797353029243E-001     2.2813067233562472E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4679788351119865E+000     1.1698678719148833E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7640246640764279E+004     1.5264062018441862E+008     1.2338072865529645E+001     4.6220920346342975E+000     1.1645436941377205E-001     1.2327262034851664E+001     1.0965988883200771E-003     1.0575297468323824E-001     1.2502509587140229E-001     0.0000000000000000E+000    -3.4424459784891973E-013     1.6550463746048104E-004     1.6550463746038522E-004    -1.0628932137728572E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1698678719148833E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9698678484870473E-002    -1.4668199065457888E+000 
                          8     3.4381259096102448E+000    -6.5905256615766277E+000     4.4693036064995644E+000    -1.2602375115803488E+000     1.5325522226823472E-004    -3.8145847176993670E+000     5.1511084001199469E-004     1.3548205240947974E+001                           1     3.5970200072927616E+005     1.4320633830119736E-009     1.3475393038376335E-013    -2.0000000000000000E+001     2.0749642163515083E+000    -1.0602059991328270E+001     4.9999999999999833E-001     9.9999999996400002E-001     5.4924041727196213E-002     2.7423691177378560E+003     6.6687019284450288E-001    -1.7595869384608390E-001     2.9464807391413444E+004     9.9999515903702019E-001     4.4693015040909660E+000     5.8314656384617090E+011     7.5326273292303070E-002     1.1209664486400003E+009     1.3541128288000007E+009     1.1273439508676528E+000     1.0849078947305679E+000     5.7731435826806077E-001     1.1790403322645591E-005     9.3246507525444011E-001     2.2813478171825410E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4679377079070921E+000     1.1700216072651568E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7638649003261879E+004     1.5264293909777051E+008     1.2338142769983694E+001     4.6221554049247544E+000     1.1646959129169666E-001     1.2327331932261295E+001     1.0966245509512764E-003     1.0575372601855668E-001     1.2503828232933256E-001     0.0000000000000000E+000    -3.4423557328073966E-013     1.6550463746028941E-004     1.6550463746009775E-004    -1.0443697499233021E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1700216072651568E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9711945657423887E-002    -1.4667774807971163E+000 
                          9     3.4381405069321862E+000    -6.5904128443140486E+000     4.4694416293115111E+000    -1.2602393490497803E+000     1.5324899396045619E-004    -3.8146023678298184E+000     5.1509997740084514E-004     1.3548327211728530E+001                           1     3.5971347566777962E+005     1.4320034308141798E-009     1.3475165882856949E-013    -2.0000000000000000E+001     2.0748993098735800E+000    -1.0301029995664290E+001     5.0000000000000178E-001     9.9999999993900002E-001     5.4923809347927205E-002     2.7424612946347002E+003     6.6701155402272394E-001    -1.7586664313764477E-001     2.9474173068490702E+004     9.9999515992459198E-001     4.4694395272883822E+000     5.8321154591776306E+011     7.5326012447476373E-002     1.1210340057600002E+009     1.3542053782400005E+009     1.1273504483699797E+000     1.0849080866575240E+000     5.7734494454240315E-001     1.1794993931841666E-005     9.3245901226997363E-001     2.2814358675479891E+000     1.2480945158483943E+000     8.7000425680503612E-001    -1.4678536653579597E+000     1.1703258101226704E-033     0.0000000000000000E+000     0.0000000000000000E+000     2.7635633539857012E+004     1.5264741298604220E+008     1.2338284316004458E+001     4.6222836515006307E+000     1.1650027318113038E-001     1.2327469767044281E+001     1.0966789186290676E-003     1.0575520861512855E-001     1.2506445121815560E-001     0.0000000000000000E+000    -3.4421752746019216E-013     1.6550463745990612E-004     1.6550463745952282E-004    -1.0214670164989540E+001     7.4000000000000044E-001     2.5540830215261663E-005     2.3997445916978452E-001     3.4416106108120380E-003     1.0081585468366047E-003     9.3604466091399812E-003     2.0994599496976496E-003     4.0903242835137526E-003     1.1703258101226704E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     4.9738264874128094E-002    -1.4666938581784201E+000 
