                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      8.0000000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56 
                    model_number                         star_age                        star_mass                     log_abs_mdot                           log_dt                        num_zones                   mass_conv_core                          cz_mass                          cz_logT                        cz_logRho                          cz_logP                      cz_top_mass                      cz_top_logT                    cz_top_logRho                      cz_top_logP                    cz_top_radius                     he_core_mass                   he_core_radius                      he_core_lgT                    he_core_lgRho                        he_core_L                     kh_timescale                           log_LH                          log_LHe                          extra_L                eps_grav_integral                    log_abs_Lgrav                         log_Teff                       luminosity                            log_L                            log_R                           radius                        radius_cm                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                        center_ye                  center_eps_grav                   center_entropy                        center_h1                       center_he4                       center_c12                       center_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                        e_thermal                      num_retries                      num_backups                  runtime_minutes 
                               1          3.0450289652748564E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.6534919673808073E+000                              708          0.0000000000000000E+000          1.1532049803774136E-001          6.6007584202775211E+000          1.9027412309948757E-001          1.4918911617318861E+001          9.9999999576400056E-001          3.9742578175595993E+000         -5.9671113447482069E+000          5.8220586022437066E+000          1.6237649068430418E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.2381932768963221E+006         -4.4130992925982930E+000         -7.9091027436413810E+001          0.0000000000000000E+000          3.4084076618777259E+000          5.3255153290094870E-001          3.7893473688503563E+000          3.4084462889043778E+000          5.3255645467414447E-001          2.1084232608898579E-001          1.6249586950448172E+000          1.1309387525772919E+011          4.0162047012351536E+000          1.0380175618181102E+004          6.6679886112204363E+000          3.1722672013971082E-001          1.5113494986940696E+001         -3.8525389318180512E+000          6.9126610768403721E-002          6.1533509117441954E-001          8.5500478612385289E-001          4.5720619370695665E+000          1.8906473665456748E+001          7.0999999165456196E-001          2.6997126656600778E-001          3.4416106108119109E-003          9.3604466091399725E-003          7.0999999923507018E-001          2.6997126656600751E-001         -4.4130992937287781E+000         -1.2997618936102732E+001          1.7306987330825646E+048                                0                                0          5.9333333333333330E-003 
                               1          3.0135086895824573E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.1306132221004699E+000                              708          0.0000000000000000E+000          1.1532049803774136E-001          6.5957332933903183E+000          1.7388665914257803E-001          1.4897487256439680E+001          9.9999999576400056E-001          3.9710823376137845E+000         -5.9837717334328175E+000          5.8019360030716411E+000          1.6451958768788990E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.0479006986182206E+006         -4.4665973656566216E+000         -7.9623623548496838E+001          0.0000000000000000E+000          3.5221745080605884E+000          5.4681086952173341E-001          3.7900659124360661E+000          3.5222089658351403E+000          5.4681511824595519E-001          2.1653457070347246E-001          1.6463970175853762E+000          1.1458593962990701E+011          4.0048202120061802E+000          1.0111607701447143E+004          6.6611742045583799E+000          3.0374262674433350E-001          1.5093159234834410E+001         -3.8596958767507434E+000          6.9496826427303857E-002          6.1534125514664817E-001          8.5500478625990506E-001          4.3447867584254922E+000          1.8916714814757199E+001          7.0999999206271902E-001          2.6997126656600778E-001          3.4416106108119252E-003          9.3604466091399725E-003          7.0999999928133284E-001          2.6997126656600751E-001         -4.4665973664682763E+000         -1.3195010520341251E+001          1.7092971223043865E+048                                2                                1          2.2950000000000002E-002 
                               2          3.0243156412484227E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0337032090924128E+000                              694          0.0000000000000000E+000          9.6893723124423223E-002          6.6069997152747053E+000          1.9417115208826369E-001          1.4929110161111158E+001          9.9999999740462520E-001          3.9228466478313258E+000         -6.0901763993475919E+000          5.6436175415069298E+000          1.6376861051396321E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.1119160603976692E+006         -4.4471519385964742E+000         -7.9431076755480419E+001          0.0000000000000000E+000          3.4838706176768794E+000          5.4206201801405451E-001          3.7899140993661602E+000          3.4839328347715801E+000          5.4206977384158139E-001          2.1446552464109650E-001          1.6385719822673710E+000          1.1404133282184448E+011          4.0089583041309318E+000          1.0208414697623240E+004          6.6636318490408275E+000          3.0851311449176311E-001          1.5100401355852890E+001         -3.8572938233467355E+000          6.9358148482229320E-002          6.1533880806087926E-001          8.5500478621898379E-001          4.4409415973440156E+000          1.8913306840367230E+001          7.0999999193995478E-001          2.6997126656600778E-001          3.4416106108119218E-003          9.3604466091399725E-003          7.0999999927036428E-001          2.6997126656600751E-001         -4.4471519395129029E+000         -1.3122837907691942E+001          1.7169805458850139E+048                                2                                1          2.6433333333333333E-002 
                               3          3.0343910288553354E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0032617627342661E+000                              692          0.0000000000000000E+000          7.9066231582216262E-002          6.6173603265990826E+000          2.1277074481761835E-001          1.4958135348671096E+001          9.9999999740462520E-001          3.9236106261513086E+000         -6.0847344840018769E+000          5.6498501842076623E+000          1.6305974790650615E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.1822607166440091E+006         -4.4294423370591538E+000         -7.9254052020797715E+001          0.0000000000000000E+000          3.4401745535821959E+000          5.3658047912219309E-001          3.7894848586892018E+000          3.4402199616625140E+000          5.3658621149078700E-001          2.1258222481961672E-001          1.6314817678510443E+000          1.1354786807889697E+011          4.0127249037738917E+000          1.0297336470876551E+004          6.6658964429953604E+000          3.1292956382093773E-001          1.5107094714280638E+001         -3.8550622109128141E+000          6.9231708135319106E-002          6.1533672813815854E-001          8.5500478617919740E-001          4.5064021685548994E+000          1.8910140188809471E+001          7.0999999182059570E-001          2.6997126656600773E-001          3.4416106108119179E-003          9.3604466091399708E-003          7.0999999925971302E-001          2.6997126656600751E-001         -4.4294423380828478E+000         -1.3057056332043206E+001          1.7240528524540860E+048                                2                                1          2.8150000000000001E-002 
                               4          3.0444664164622482E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0032617627342661E+000                              692          0.0000000000000000E+000          7.0430823303374135E-002          6.6245286861340347E+000          2.2643940086336892E-001          1.4979014414034401E+001          9.9999999748275015E-001          3.9202752208762299E+000         -6.0898194836914197E+000          5.6412636359560295E+000          1.6236980669753345E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.2417368410517583E+006         -4.4120894596827407E+000         -7.9078892818949853E+001          0.0000000000000000E+000          3.4063801477804176E+000          5.3229311305428084E-001          3.7893357325917059E+000          3.4064260424354900E+000          5.3229896432757140E-001          2.1073685343299925E-001          1.6245641058742213E+000          1.1306641264063405E+011          4.0164156465471264E+000          1.0385218696873604E+004          6.6681417426669478E+000          3.1732713367711934E-001          1.5113749944588163E+001         -3.8528242401563375E+000          6.9107567076988605E-002          6.1533485459893555E-001          8.5500478613772157E-001          4.5769877321646373E+000          1.8906972083956308E+001          7.0999999169616812E-001          2.6997126656600778E-001          3.4416106108119144E-003          9.3604466091399725E-003          7.0999999924862789E-001          2.6997126656600751E-001         -4.4120894608234762E+000         -1.2992688601609863E+001          1.7310557586342309E+048                                2                                1          2.9849999999999998E-002 
                               5          3.0545418040691609E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0032617627342661E+000                              692          0.0000000000000000E+000          5.9262945972274772E-002          6.6324905440051367E+000          2.4125106873144381E-001          1.5001837913823199E+001          9.9999999748275015E-001          3.9212642360883359E+000         -6.0848386403360140E+000          5.6472724798389073E+000          1.6169303842198299E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3001062642992223E+006         -4.3950555068774291E+000         -7.8906082173185538E+001          0.0000000000000000E+000          3.3742030599830901E+000          5.2817121493850072E-001          3.7892118121020575E+000          3.3742461354266577E+000          5.2817675915374351E-001          2.0892359182538409E-001          1.6177953836307668E+000          1.1259532310993411E+011          4.0200421697623563E+000          1.0472302286104199E+004          6.6703629854467765E+000          3.2170025372436839E-001          1.5120357302518345E+001         -3.8505703811885819E+000          6.8986175337784700E-002          6.1533349097994805E-001          8.5500478609450348E-001          4.6554617776777194E+000          1.8903793873233663E+001          7.0999999156651472E-001          2.6997126656600773E-001          3.4416106108119092E-003          9.3604466091399708E-003          7.0999999923709889E-001          2.6997126656600751E-001         -4.3950555081453331E+000         -1.2929753236674857E+001          1.7379917889639181E+048                                2                                1          3.1516666666666665E-002 
                               6          3.0666322691974565E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0824430087818913E+000                              692          0.0000000000000000E+000          5.3847085435126174E-002          6.6375933208770492E+000          2.5220815861048029E-001          1.5017923261364725E+001          9.9999999748275015E-001          3.9224373377318282E+000         -6.0789762576274615E+000          5.6543551180469231E+000          1.6090042875764932E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3697039529178943E+006         -4.3750429838103528E+000         -7.8702350716282652E+001          0.0000000000000000E+000          3.3368083736137768E+000          5.2333126668723962E-001          3.7890685876808377E+000          3.3368542857095895E+000          5.2333724222747358E-001          2.0679028220468823E-001          1.6098680533236269E+000          1.1204359677521779E+011          4.0243087890037481E+000          1.0575691873505823E+004          6.6729915078545119E+000          3.2690727596053021E-001          1.5128207349966988E+001         -3.8478288459769359E+000          6.8844495165341718E-002          6.1533214801491798E-001          8.5500478604005514E-001          4.7424356943449535E+000          1.8899962484754784E+001          7.0999999140316938E-001          2.6997126656600778E-001          3.4416106108119040E-003          9.3604466091399725E-003          7.0999999922261137E-001          2.6997126656600751E-001         -4.3750429852443977E+000         -1.2856264511948208E+001          1.7462189321194766E+048                                2                                1          3.3200000000000000E-002 
                               7          3.0811408273514109E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.1616242548295155E+000                              692          0.0000000000000000E+000          4.8556525616618169E-002          6.6430563469123580E+000          2.6424351188983120E-001          1.5035450181229113E+001          9.9999999748275015E-001          3.9236326989832788E+000         -6.0719209490710639E+000          5.6626519762360301E+000          1.5997710380254573E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.4611228237840561E+006         -4.3516533355648486E+000         -7.8464000124234573E+001          0.0000000000000000E+000          3.2872830288897106E+000          5.1683709762995689E-001          3.7886944293617395E+000          3.2873321506207138E+000          5.1684358722551016E-001          2.0429177134190163E-001          1.6006330180974144E+000          1.1140085679354385E+011          4.0293058107293218E+000          1.0698079249028107E+004          6.6760842443961401E+000          3.3308444038704221E-001          1.5137493959246967E+001         -3.8444686327561639E+000          6.8680830477321361E-002          6.1533161003149284E-001          8.5500478597086416E-001          4.8468702693023680E+000          1.8895136386839635E+001          7.0999999119559631E-001          2.6997126656600778E-001          3.4416106108118944E-003          9.3604466091399725E-003          7.0999999920426560E-001          2.6997126656600751E-001         -4.3516533372179431E+000         -1.2771140027778284E+001          1.7559380062287791E+048                                2                                1          3.4916666666666672E-002 
                               8          3.0985510971361557E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.2408055008771406E+000                              692          0.0000000000000000E+000          4.3402465683390450E-002          6.6489438690987148E+000          2.7753975389401098E-001          1.5054663414604859E+001          9.9999999748275015E-001          3.9252626133778614E+000         -6.0638669220127479E+000          5.6724040887926064E+000          1.5890354785042093E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.5604414786426295E+006         -4.3243528822372905E+000         -7.8186446901656225E+001          0.0000000000000000E+000          3.2374030554244793E+000          5.1019677226318438E-001          3.7884961021085743E+000          3.2374570321156368E+000          5.1020401312362140E-001          2.0136863879728803E-001          1.5898957147778954E+000          1.1065356195711197E+011          4.0351520758185488E+000          1.0843065364745857E+004          6.6797166406362631E+000          3.4041022392313181E-001          1.5148471979493891E+001         -3.8402984049608726E+000          6.8492823498263800E-002          6.1533229024582869E-001          8.5500478588205364E-001          4.9761650719135435E+000          1.8889045679475441E+001          7.0999999092916410E-001          2.6997126656600778E-001          3.4416106108118806E-003          9.3604466091399725E-003          7.0999999918082124E-001          2.6997126656600751E-001         -4.3243528841834769E+000         -1.2672952836790248E+001          1.7674177903378001E+048                                2                                1          3.6616666666666665E-002 
