                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.8144573300680158E-037      5.0271465915946114E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                               1          3.0450289652748564E+006                                1          2.9997401123186509E+000          8.7534873419000085E+000          1.7516892710065618E-001          1.6249586950448172E+000          4.1741097753039252E-001          6.8800705967485687E+000         -5.8034422540336328E-001         -7.6381656667698272E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4755184417725116E+002          1.4130919893045871E-001          9.4483256073228130E+000          4.9233626752751221E+001          3.2541591517213774E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2541591517213774E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               2          3.0990637236046842E+006                                1          2.9962070935237546E+000          8.7466128998900388E+000          1.7709931139815077E-001          1.5911117508979484E+000          4.1708316902993098E-001          6.8746674191926411E+000         -5.7538609910810945E-001         -7.6855436723296666E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4760981732528481E+002          1.4136471934197095E-001          9.4274344760672353E+000          4.9233456151877888E+001          3.3595953644558740E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3595953644558740E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               3          3.1422915302685471E+006                                1          2.9936527409018980E+000          8.7416410341004998E+000          1.7684425239192109E-001          1.5661698309723842E+000          4.1684608507946619E-001          6.8707596294976883E+000         -5.7575647529901097E-001         -7.7205288564477337E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4765178838516303E+002          1.4140491468404021E-001          9.4110714677196867E+000          4.9233332683065996E+001          3.3552292640406691E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3552292640406691E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               4          3.1840153942993153E+006                                1          2.9913679805545947E+000          8.7371927122876318E+000          1.7653538344601982E-001          1.5437284036790881E+000          4.1663396637936917E-001          6.8672633351735852E+000         -5.7628182603510003E-001         -7.7520471717281736E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4768937019863819E+002          1.4144090648059238E-001          9.3958132461262043E+000          4.9233222156146020E+001          3.3519465119964799E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3519465119964799E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               5          3.2340840311362366E+006                                1          2.9888107252184928E+000          8.7322125120361918E+000          1.7618226736238909E-001          1.5187149839488818E+000          4.1639648499919968E-001          6.8633489947538715E+000         -5.7688819740462571E-001         -7.7872100266069233E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4773147967522948E+002          1.4148123438321994E-001          9.3791196078742516E+000          4.9233098346919618E+001          3.3489451648326593E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3489451648326593E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               6          3.2941663953405428E+006                                1          2.9859747219363539E+000          8.7266877947526034E+000          1.7575889794200780E-001          1.4910501378011791E+000          4.1613303826627501E-001          6.8590066745501028E+000         -5.7763772212303099E-001         -7.8261427513496618E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4777823541707519E+002          1.4152601197622436E-001          9.3602348413939396E+000          4.9232960918200263E+001          3.3455464273115858E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3455464273115858E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               7          3.3662652323857099E+006                                1          2.9828606511006908E+000          8.7206193688099685E+000          1.7524720859395027E-001          1.4607245416212535E+000          4.1584366472795248E-001          6.8542370099277958E+000         -5.7857429736581878E-001         -7.8688736040123586E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4782964376795508E+002          1.4157524533499177E-001          9.3390068850496988E+000          4.9232809864287916E+001          3.3417193264784004E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3417193264784004E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               8          3.4527838368399101E+006                                1          2.9794769856810239E+000          8.7140231863247006E+000          1.7462712784126985E-001          1.4278946109668378E+000          4.1552912506260509E-001          6.8490525389398229E+000         -5.7974756206328526E-001         -7.9151939588013964E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4788558387882526E+002          1.4162881872337754E-001          9.3142051242044683E+000          4.9232645554306650E+001          3.3374386305198200E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3374386305198200E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               9          3.5566061621849509E+006                                1          2.9758391895523988E+000          8.7069288105607541E+000          1.7386465349226735E-001          1.3926567434977579E+000          4.1519082899762738E-001          6.8434764977359714E+000         -5.8124158495499689E-001         -7.9649864451810548E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4794581994482465E+002          1.4168650631298754E-001          9.2878075660321215E+000          4.9232468695520879E+001          3.3326997168067592E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3326997168067592E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
