                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56 
                    model_number                         star_age                        star_mass                     log_abs_mdot                           log_dt                        num_zones                   mass_conv_core                          cz_mass                          cz_logT                        cz_logRho                          cz_logP                      cz_top_mass                      cz_top_logT                    cz_top_logRho                      cz_top_logP                    cz_top_radius                     he_core_mass                   he_core_radius                      he_core_lgT                    he_core_lgRho                        he_core_L                     kh_timescale                           log_LH                          log_LHe                          extra_L                eps_grav_integral                    log_abs_Lgrav                         log_Teff                       luminosity                            log_L                            log_R                           radius                        radius_cm                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                        center_ye                  center_eps_grav                   center_entropy                        center_h1                       center_he4                       center_c12                       center_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                        e_thermal                      num_retries                      num_backups                  runtime_minutes 
                               1          3.0450289652748564E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.6534919673808073E+000                              479          0.0000000000000000E+000          9.0110578848579993E-005          4.8077024854690356E+000          2.5252826295916286E-001          1.3196324608530094E+001          9.5768832010174638E-004          3.3731087453965753E+000         -4.2824020826330909E+000          6.6474591214089580E+000          1.6374810832443362E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          2.6673995030639521E+006         -2.9337883530940619E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.8477370209046704E-005         -4.3144609477253777E+000          3.0723122554020503E+000          4.8477381671968278E-005         -4.3144608450324515E+000         -7.7859609686769948E-001          1.6649603792168788E-001          1.1587791247273632E+010          2.9763073396700093E+000          9.4690702744771806E+002          4.8077152162550636E+000         -5.0207938069059166E+000          1.3196365350442722E+001          5.6132612276077252E+000          4.7081263262119846E+000          8.4494491189718179E-001          8.7000425680503624E-001          2.0361022314889368E-001          9.9698801149549894E+000          7.4000000000000021E-001          2.3997445916978460E-001          3.4416106108120384E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113530E-004         -2.9337883530940619E+001         -9.8999999999999986E+001          1.3184783763114482E+043                                0                                0          3.4166666666666664E-003 
                               1          3.0135086895824573E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.1306132221004699E+000                              479          0.0000000000000000E+000          9.0110578848579993E-005          4.8124664121978551E+000          2.4192422462161378E-001          1.3183617678871865E+001          9.5768832010174638E-004          3.3773112477387448E+000         -4.3316433655959177E+000          6.6026004543101973E+000          1.6663539169619040E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.8393763555736095E+005         -2.9355957596499053E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.5647957197203884E-006         -5.4479653523030356E+000          3.2732198479324675E+000          3.2706509531297201E-004         -3.4853658017075664E+000         -7.6586376026609082E-001          1.7144950663964309E-001          1.1932542763105879E+010          2.9508426664667922E+000          8.9298192113076516E+002          4.8124719463263226E+000         -5.0207938640884908E+000          1.3183659630169117E+001          5.4331521821022015E+000          4.6191078123082914E+000          8.5059515386819773E-001          8.7000425680503624E-001          1.5128388347512491E-002          1.0027227161332133E+001          7.4000000000000021E-001          2.3997445916978460E-001          3.4416106108120384E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113530E-004         -2.9355957596499053E+001         -9.8999999999999986E+001          1.3331137596014844E+043                                2                                1          1.8033333333333335E-002 
                               2          3.0243156412484227E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0337032090924128E+000                              507          0.0000000000000000E+000          9.0113718319771174E-005          4.8123815393980989E+000          2.4209327254944957E-001          1.3183811945758643E+001          9.5768766416929739E-004          3.3918132286513858E+000         -4.2719079214298388E+000          6.6773071732160671E+000          1.6636080217758137E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.6787552415629482E+005         -2.9355652383132870E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.3213771944312797E-006         -5.4786818006563678E+000          3.2777396362028450E+000          3.4121944903763344E-004         -3.4669662226129687E+000         -7.6570354725954748E-001          1.7151276672998952E-001          1.1936945538873812E+010          2.9505222404537053E+000          8.9232331477405285E+002          4.8123928449496329E+000         -5.0207938631078344E+000          1.3183874248421047E+001          5.4361258721351602E+000          4.6205863346144822E+000          8.5050248652696558E-001          8.7000425680503590E-001          1.4078045372318526E-002          1.0026270936028382E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120376E-003          9.3604466091399777E-003          6.4201496084896235E-004          2.0819890947113519E-004         -2.9355652383132870E+001         -9.8999999999999986E+001          1.3328724714829283E+043                                2                                1          2.2833333333333334E-002 
                               3          3.0343910674652699E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0032634269927705E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8123077638050251E+000          2.4226221175621818E-001          1.3184014142705939E+001          9.5768742353983529E-004          3.3967982397338274E+000         -4.2519920422656403E+000          6.7024102793149209E+000          1.6623856357018224E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.7159632631477423E+005         -2.9355365000129854E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.3566193865952287E-006         -5.4740979014308131E+000          3.2767808464602823E+000          3.3794164398489148E-004         -3.4711582875430720E+000         -7.6588200023947361E-001          1.7144230606745456E-001          1.1932041617682703E+010          2.9508791464135573E+000          8.9305693313874770E+002          4.8123191239151240E+000         -5.0207938621883388E+000          1.3184076416378572E+001          5.4389061999320969E+000          4.6219692036804014E+000          8.5041575521230639E-001          8.7000425680503624E-001          1.4141568428807424E-002          1.0025371784951016E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9355365000129854E+001         -9.8999999999999986E+001          1.3326450413550753E+043                                2                                1          2.4516666666666669E-002 
                               4          3.0444664936821177E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0032634269927705E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8122327830152853E+000          2.4243343915315682E-001          1.3184219509514454E+001          9.5768742353983529E-004          3.3967346685340671E+000         -4.2513336212715496E+000          6.7030000956070479E+000          1.6619193110659869E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.7657857077900070E+005         -2.9355073002825218E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.4099642564547689E-006         -5.4672501732965975E+000          3.2754871587027621E+000          3.3362659885853807E-004         -3.4767393319042434E+000         -7.6608514690501894E-001          1.7136213054155761E-001          1.1926461561431326E+010          2.9512854397446482E+000          8.9389280112386632E+002          4.8122443088169531E+000         -5.0207938612537104E+000          1.3184281753756652E+001          5.4417357540130604E+000          4.6233731449423461E+000          8.5032750517129840E-001          8.7000425680503624E-001          1.4369328901305196E-002          1.0024461338017749E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9355073002825218E+001         -9.8999999999999986E+001          1.3324139161885566E+043                                2                                1          2.6166666666666668E-002 
                               5          3.0545419198989649E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0032634269927705E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8121568559074133E+000          2.4260722149516870E-001          1.3184427163135881E+001          9.5768742353983529E-004          3.3966664280217485E+000         -4.2506840719165231E+000          6.7035766669797443E+000          1.6614486853988869E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.8063465766271431E+005         -2.9354777772029188E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.4499054773767883E-006         -5.4621928038299243E+000          3.2744656504447325E+000          3.3021503215197365E-004         -3.4812031605339833E+000         -7.6627404470383009E-001          1.7128761223215025E-001          1.1921275236133194E+010          2.9516632353422705E+000          8.9467074261107825E+002          4.8121685120669202E+000         -5.0207938603075153E+000          1.3184489377634067E+001          5.4446039152145369E+000          4.6247960618721571E+000          8.5023793637752465E-001          8.7000425680503624E-001          1.4527188030265053E-002          1.0023535870236525E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9354777772029188E+001         -9.8999999999999986E+001          1.3321798741680841E+043                                2                                1          2.7833333333333331E-002 
                               6          3.0666324313591821E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0824446730403956E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8120648231432295E+000          2.4281746370584248E-001          1.3184678901957682E+001          9.5768742353983529E-004          3.3965796913468371E+000         -4.2499131256535776E+000          6.7042549965011222E+000          1.6608791325476951E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.8459282036793715E+005         -2.9354419936972576E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.4845138763770895E-006         -5.4578578016500376E+000          3.2735017558856154E+000          3.2697640748329676E-004         -3.4854835821086918E+000         -7.6648646637294982E-001          1.7120385269775504E-001          1.1915445740058355E+010          2.9520880786805099E+000          8.9554637169002558E+002          4.8120765892153523E+000         -5.0207938591616443E+000          1.3184741080416215E+001          5.4480834627151475E+000          4.6265214368263186E+000          8.5012940257787650E-001          8.7000425680503624E-001          1.4672344569908071E-002          1.0022415691507897E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9354419936972576E+001         -9.8999999999999986E+001          1.3318962404644832E+043                                2                                1          2.9466666666666665E-002 
                               7          3.0811410451114420E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.1616259190880198E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8119529261142002E+000          2.4307218681132220E-001          1.3184984196879899E+001          9.5768742353983529E-004          3.3964740064170593E+000         -4.2489781679662224E+000          6.7050768920422286E+000          1.6601886009436495E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.8927929818697768E+005         -2.9353985885851060E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.5254416236557454E-006         -5.4527864722318915E+000          3.2723783359864118E+000          3.2323007819695779E-004         -3.4904882327143887E+000         -7.6674195187739069E-001          1.7110316700783129E-001          1.1908438217411043E+010          2.9525990496893915E+000          8.9660065064657397E+002          4.8119648195329789E+000         -5.0207938577734206E+000          1.3185046331659525E+001          5.4523046517372107E+000          4.6286172362349465E+000          8.4999756783246938E-001          8.7000425680503624E-001          1.4848552009833975E-002          1.0021058530303012E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9353985885851060E+001         -9.8999999999999986E+001          1.3315515387579083E+043                                2                                1          3.1116666666666667E-002 
                               8          3.0985513816141547E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.2408071651356449E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8118163512429266E+000          2.4338361921361332E-001          1.3185356774374142E+001          9.5768766416929739E-004          3.3912891564091678E+000         -4.2670789582366169E+000          6.6815791136610949E+000          1.6601050839901613E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          3.9559975645224302E+005         -2.9353456249761802E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.5845334119299400E-006         -5.4455673671403595E+000          3.2708709458342078E+000          3.1830156636358548E-004         -3.4971612242084404E+000         -7.6706366732000864E-001          1.7097646462079533E-001          1.1899619984678114E+010          2.9532424805746276E+000          8.9792999776079625E+002          4.8118284290198030E+000         -5.0207938560788641E+000          1.3185418855890227E+001          5.4574671339988692E+000          4.6311770188342702E+000          8.4983640402555416E-001          8.7000425680503624E-001          1.5089381331242041E-002          1.0019407151258209E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9353456249761802E+001         -9.8999999999999986E+001          1.3311308679343956E+043                                2                                1          3.2716666666666665E-002 
