                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      8.0000000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56 
                    model_number                         star_age                        star_mass                     log_abs_mdot                           log_dt                        num_zones                   mass_conv_core                          cz_mass                          cz_logT                        cz_logRho                          cz_logP                      cz_top_mass                      cz_top_logT                    cz_top_logRho                      cz_top_logP                    cz_top_radius                     he_core_mass                   he_core_radius                      he_core_lgT                    he_core_lgRho                        he_core_L                     kh_timescale                           log_LH                          log_LHe                          extra_L                eps_grav_integral                    log_abs_Lgrav                         log_Teff                       luminosity                            log_L                            log_R                           radius                        radius_cm                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                        center_ye                  center_eps_grav                   center_entropy                        center_h1                       center_he4                       center_c12                       center_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                        e_thermal                      num_retries                      num_backups                  runtime_minutes 
                               1          3.0450289652748564E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.6534919673808073E+000                              708          0.0000000000000000E+000          1.1532049803774136E-001          6.6007584202775211E+000          1.9027412309948757E-001          1.4918911617318861E+001          9.9999999576400056E-001          3.9742578175595993E+000         -5.9671113447482069E+000          5.8220586022437066E+000          1.6237649068430418E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.2381932768963221E+006         -4.4130992925982930E+000         -7.9091027436413810E+001          0.0000000000000000E+000          3.4084076618777259E+000          5.3255153290094870E-001          3.7893473688503563E+000          3.4084462889043778E+000          5.3255645467414447E-001          2.1084232608898579E-001          1.6249586950448172E+000          1.1309387525772919E+011          4.0162047012351536E+000          1.0380175618181102E+004          6.6679886112204363E+000          3.1722672013971082E-001          1.5113494986940696E+001         -3.8525389318180512E+000          6.9126610768403721E-002          6.1533509117441954E-001          8.5500478612385289E-001          4.5720619370695665E+000          1.8906473665456748E+001          7.0999999165456196E-001          2.6997126656600778E-001          3.4416106108119109E-003          9.3604466091399725E-003          7.0999999923507018E-001          2.6997126656600751E-001         -4.4130992937287781E+000         -1.2997618936102732E+001          1.7306987330825646E+048                                0                                0          6.4166666666666669E-003 
                               1          3.0135086895824573E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.1306132221004699E+000                              708          0.0000000000000000E+000          1.1532049803774136E-001          6.5957333337708297E+000          1.7388673051087439E-001          1.4897487256564247E+001          9.9999999576400056E-001          3.9710823294675119E+000         -5.9837716961322780E+000          5.8019364172335139E+000          1.6451958652410872E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.0479009331441177E+006         -4.4665972078916747E+000         -7.9623620984665891E+001          0.0000000000000000E+000          3.5221743401179073E+000          5.4681084881390607E-001          3.7900659084424251E+000          3.5222087866038865E+000          5.4681509614642976E-001          2.1653456764099219E-001          1.6463970059756077E+000          1.1458593882189035E+011          4.0048202181311403E+000          1.0111607844053602E+004          6.6611742233833233E+000          3.0374271237066441E-001          1.5093159234902032E+001         -3.8596958767507430E+000          6.9496827982267834E-002          6.1534125514664806E-001          8.5500478625990506E-001          4.3449789715201081E+000          1.8916714814757064E+001          7.0999999206271891E-001          2.6997126656600778E-001          3.4416106108119252E-003          9.3604466091399725E-003          7.0999999928133284E-001          2.6997126656600751E-001         -4.4665972087033294E+000         -1.3195010411629212E+001          1.7092972608918976E+048                                2                                1          2.1000000000000001E-002 
                               2          3.0243156412484227E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0337032090924128E+000                              694          0.0000000000000000E+000          9.6893723124423223E-002          6.6069996453008999E+000          1.9417088826158377E-001          1.4929110160888509E+001          9.9999999740462520E-001          3.9228465408013640E+000         -6.0901767067800971E+000          5.6436175414948773E+000          1.6376862249408752E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.1119171935427976E+006         -4.4471536388538802E+000         -7.9431118190972313E+001          0.0000000000000000E+000          3.4838691977833580E+000          5.4206184101206034E-001          3.7899140455017748E+000          3.4839316185759812E+000          5.4206962223500499E-001          2.1446555656657987E-001          1.6385721027206732E+000          1.1404134120515341E+011          4.0089582402799655E+000          1.0208413196758906E+004          6.6636319505614621E+000          3.0851240637778027E-001          1.5100401356219729E+001         -3.8572938233467369E+000          6.9358094573111442E-002          6.1533880806087948E-001          8.5500478621898379E-001          4.4370604848569908E+000          1.8913306840367298E+001          7.0999999193995467E-001          2.6997126656600778E-001          3.4416106108119218E-003          9.3604466091399725E-003          7.0999999927036428E-001          2.6997126656600751E-001         -4.4471536397702840E+000         -1.3122850912762068E+001          1.7169801984898912E+048                                2                                1          2.4600000000000000E-002 
                               3          3.0343910674652699E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0032634269927705E+000                              692          0.0000000000000000E+000          7.9066231582216262E-002          6.6173601744268700E+000          2.1277080629368259E-001          1.4958135348172860E+001          9.9999999740462520E-001          3.9236105852041190E+000         -6.0847346835638465E+000          5.6498493558752481E+000          1.6305974058520847E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.1822622617578083E+006         -4.4294433855601500E+000         -7.9254063541418930E+001          0.0000000000000000E+000          3.4401731490600329E+000          5.3658030181248395E-001          3.7894848331883906E+000          3.4402188450128297E+000          5.3658607052454643E-001          2.1258220533811895E-001          1.6314816946663526E+000          1.1354786298538881E+011          4.0127249427368872E+000          1.0297337394708444E+004          6.6658961871979079E+000          3.1292927940533000E-001          1.5107094713351287E+001         -3.8550622109128136E+000          6.9231733799404338E-002          6.1533672813815843E-001          8.5500478617919751E-001          4.5107756165291235E+000          1.8910140188809336E+001          7.0999999182059581E-001          2.6997126656600778E-001          3.4416106108119183E-003          9.3604466091399725E-003          7.0999999925971302E-001          2.6997126656600751E-001         -4.4294433865838387E+000         -1.3057059755997958E+001          1.7240525212072583E+048                                2                                1          2.6316666666666665E-002 
                               4          3.0444664936821177E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0032634269927705E+000                              692          0.0000000000000000E+000          7.0430823303374135E-002          6.6245286967118773E+000          2.2644037166260531E-001          1.4979015119650382E+001          9.9999999748275015E-001          3.9202751807362595E+000         -6.0898196896602919E+000          5.6412636359515931E+000          1.6236979921923052E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.2417373356406130E+006         -4.4120896921816444E+000         -7.9078915516648237E+001          0.0000000000000000E+000          3.4063795416342222E+000          5.3229303577401266E-001          3.7893357348376231E+000          3.4064258011294668E+000          5.3229893356281188E-001          2.1073683355878564E-001          1.6245640315308099E+000          1.1306640746648131E+011          4.0164156862955540E+000          1.0385219647371814E+004          6.6681416116788332E+000          3.1732810707513037E-001          1.5113751599298848E+001         -3.8528223328077051E+000          6.9107639551643396E-002          6.1533484722286114E-001          8.5500478613772135E-001          4.5818663910778659E+000          1.8906967621261106E+001          7.0999999169616768E-001          2.6997126656600778E-001          3.4416106108119153E-003          9.3604466091399725E-003          7.0999999924862789E-001          2.6997126656600751E-001         -4.4120896933223710E+000         -1.2992692267979040E+001          1.7310557731285211E+048                                2                                1          2.8000000000000001E-002 
                               5          3.0545419198989649E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0032634269927705E+000                              692          0.0000000000000000E+000          5.9262945972274772E-002          6.6324904836560181E+000          2.4125102508505314E-001          1.5001837913617807E+001          9.9999999748275015E-001          3.9212642853319855E+000         -6.0848387237253476E+000          5.6472724798443270E+000          1.6169303794426426E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3001052921118466E+006         -4.3950565675921727E+000         -7.8906114650270226E+001          0.0000000000000000E+000          3.3742034867460067E+000          5.2817126986725416E-001          3.7892118374881085E+000          3.3742469069854923E+000          5.2817685845998630E-001          2.0892359070640321E-001          1.6177953794624382E+000          1.1259532281982678E+011          4.0200421720003181E+000          1.0472302340068993E+004          6.6703626410149157E+000          3.2170093078868855E-001          1.5120357096424966E+001         -3.8505669360401056E+000          6.8986265899427912E-002          6.1533344940570622E-001          8.5500478609450348E-001          4.6555615491707343E+000          1.8903803653463573E+001          7.0999999156651428E-001          2.6997126656600773E-001          3.4416106108119096E-003          9.3604466091399708E-003          7.0999999923709889E-001          2.6997126656600751E-001         -4.3950565688600545E+000         -1.2929762084178137E+001          1.7379916635578194E+048                                2                                1          2.9666666666666668E-002 
                               6          3.0666324313591821E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.0824446730403956E+000                              692          0.0000000000000000E+000          5.3847085435126174E-002          6.6375931865777238E+000          2.5220723027817538E-001          1.5017923465743754E+001          9.9999999748275015E-001          3.9224372785356687E+000         -6.0789762245987502E+000          5.6543547551290985E+000          1.6090044285499181E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3697043326329803E+006         -4.3750440485562798E+000         -7.8702359193154791E+001          0.0000000000000000E+000          3.3368074499948022E+000          5.2333114647575762E-001          3.7890685498001666E+000          3.3368537043314244E+000          5.2333716656059415E-001          2.0679032013259008E-001          1.6098681939169863E+000          1.1204360656023442E+011          4.0243087131479447E+000          1.0575690026308655E+004          6.6729911064321641E+000          3.2690723493450807E-001          1.5128207348483958E+001         -3.8478288459769350E+000          6.8844556631144305E-002          6.1533214801491798E-001          8.5500478604005503E-001          4.7399750712790745E+000          1.8899962484754720E+001          7.0999999140316905E-001          2.6997126656600767E-001          3.4416106108119027E-003          9.3604466091399691E-003          7.0999999922261148E-001          2.6997126656600751E-001         -4.3750440499903132E+000         -1.2856268970971250E+001          1.7462183554054143E+048                                2                                1          3.1333333333333331E-002 
                               7          3.0811410451114420E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.1616259190880198E+000                              692          0.0000000000000000E+000          4.8556525616618169E-002          6.6430565059135942E+000          2.6424454349286564E-001          1.5035451837045150E+001          9.9999999748275015E-001          3.9236327650725862E+000         -6.0719217952710522E+000          5.6626506084657624E+000          1.5997708573852178E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.4611238128089625E+006         -4.3516518904904018E+000         -7.8463989706933503E+001          0.0000000000000000E+000          3.2872824303801873E+000          5.1683701855875896E-001          3.7886944421160851E+000          3.2873317934790598E+000          5.1684354004297706E-001          2.0429172224194520E-001          1.6006328371349332E+000          1.1140084419891708E+011          4.0293059089292349E+000          1.0698081668010189E+004          6.6760842105402851E+000          3.3308432578960323E-001          1.5137493959121002E+001         -3.8444686327561666E+000          6.8680829790458378E-002          6.1533161003149350E-001          8.5500478597086371E-001          4.8448115125217672E+000          1.8895136386839837E+001          7.0999999119559543E-001          2.6997126656600773E-001          3.4416106108118940E-003          9.3604466091399708E-003          7.0999999920426538E-001          2.6997126656600751E-001         -4.3516518921435132E+000         -1.2771134147348819E+001          1.7559384297464467E+048                                2                                1          3.3050000000000003E-002 
                               8          3.0985513816141547E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.2408071651356449E+000                              692          0.0000000000000000E+000          4.3402465683390450E-002          6.6489438228481514E+000          2.7754201278674467E-001          1.5054664864855106E+001          9.9999999748275015E-001          3.9252625680427644E+000         -6.0638669680066508E+000          5.6724031579533767E+000          1.5890353840957323E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.5604437568568923E+006         -4.3243527232263475E+000         -7.8186423194398117E+001          0.0000000000000000E+000          3.2374014835863307E+000          5.1019656140256908E-001          3.7884960672421113E+000          3.2374556073631298E+000          5.1020382199759817E-001          2.0136861296720290E-001          1.5898956202173100E+000          1.1065355537588434E+011          4.0351521274787192E+000          1.0843066654549575E+004          6.6797168265207150E+000          3.4041048757017162E-001          1.5148471775366605E+001         -3.8402998780896564E+000          6.8492808042299541E-002          6.1533229024582980E-001          8.5500478588205264E-001          4.9762697340858422E+000          1.8889066350550905E+001          7.0999999092916133E-001          2.6997126656600767E-001          3.4416106108118793E-003          9.3604466091399691E-003          7.0999999918082080E-001          2.6997126656600751E-001         -4.3243527251725604E+000         -1.2672946783032492E+001          1.7674173485771688E+048                                2                                1          3.4833333333333334E-002 
