                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                              cz_top_logT                              cz_top_logP                            cz_top_radius                  cz_top_log_radial_depth                        cz_top_luminosity                           cz_top_log_tau                            cz_top_csound                      cz_top_scale_height                              cz_top_grav                                tau10_lgP                                tau10_lgT                              tau10_lgRho                                  tau10_L                               tau100_lgP                               tau100_lgT                             tau100_lgRho                                 tau100_L                                  extra_L                        eps_grav_integral                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                radius_cm                                  gravity                         log_surf_opacity                        log_surf_pressure                         log_surf_density                     log_surf_temperature                    surface_optical_depth                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                          center_eps_grav                           center_entropy                                e_thermal                  max_conv_vel_div_csound                              num_retries                              num_backups                           version_number 
                                     103                  2.1206913522652462E+003                  9.5769185209712961E-004                  2.0816761532951031E+000                                      445                  3.2833551454331218E+000                  4.9295251271861265E+000                  3.0974221265232399E-001                  8.2363079152020475E+000                  3.7995190354609841E-004                  2.5477870365468547E-001                  3.0013312524310726E+005                  2.5102508317410770E+008                  2.7359877159234810E+002                  5.3941859649075594E+000                  3.3327854128559613E+000                 -5.4958239972104828E+000                  7.8983546524577275E-005                  6.0012931432526830E+000                  3.4308158326102105E+000                 -4.9951674760119626E+000                  7.8987370043902538E-005                  0.0000000000000000E+000                  7.8972740482665489E-005                  1.6890754819359984E+003                  7.1284383642191307E-004                  3.1221798755149832E-001                  7.1284383642191307E-004                  3.1221798755149832E-001                  2.1729747497609180E+010                  2.6927702824186895E+002                 -2.3452875614178592E+000                  4.5993957202402092E+000                 -6.1838372809444984E+000                  3.2276490578929762E+000                  6.6666666666666663E-001                  4.7117193151233954E+000                 -2.1721053557406347E-001                  1.2451328148928594E+001                  2.8306330430507654E+000                  4.0950322721859385E+000                  1.0560200381278988E+000                  1.1617035315110101E-002                  1.1042951239658093E+001                  1.5521566850469885E+043                  6.7250353428832205E-002                                        0                                        0                                     7503 
                                     104                  2.2172444340774427E+003                  9.5769185209712961E-004                  1.9847661402870467E+000                                      465                  3.3596365736800888E+000                  5.5617935103108795E+000                  3.0405267387248669E-001                  8.7561740972355544E+000                  7.5660740247237562E-005                  1.2618393902421585E+000                  3.2059618813960516E+005                  2.9020947852989495E+008                  2.8393309244905709E+002                  5.3896583830194453E+000                  3.3334357992648096E+000                 -5.5010491268935571E+000                  7.5660612880628983E-005                  6.0008692124604073E+000                  3.4307528192737102E+000                 -4.9955180486042261E+000                  7.5660744935670662E-005                  0.0000000000000000E+000                  7.5660091343603963E-005                  1.6927075413654693E+003                  7.1913422237760685E-004                  3.1224820940455000E-001                  7.1913422237760685E-004                  3.1224820940455000E-001                  2.1731850878137871E+010                  2.6922490524035834E+002                 -2.3402349948895509E+000                  4.5942590830416865E+000                 -6.1899271910722229E+000                  3.2285819290818107E+000                  6.6666666666666663E-001                  4.7117470040117091E+000                 -2.1712939442084339E-001                  1.2451462171871809E+001                  2.8309174215793602E+000                  4.0950262202042094E+000                  1.0559731900691982E+000                  1.7734264540038244E-001                  1.1042822652269466E+001                  1.5521387936427098E+043                  2.1163099459323237E-002                                        0                                        0                                     7503 
                                     106                  2.4721445700616428E+003                  9.5769185209712961E-004                  2.1431286323822962E+000                                      465                  3.3640675679337497E+000                  5.5861084779323527E+000                  3.0370448373342007E-001                  8.7680878041661519E+000                  7.5425014889150680E-005                  1.2997332465446121E+000                  3.2156861677856150E+005                  2.9263867995349061E+008                  2.8458445217352045E+002                  5.3897817114432813E+000                  3.3334476093706535E+000                 -5.5009381548265504E+000                  7.5425022541314088E-005                  6.0011589611848493E+000                  3.4307370883581250E+000                 -4.9952058016392877E+000                  7.5424974301513208E-005                  0.0000000000000000E+000                  7.5425028088021143E-005                  1.6928390065757490E+003                  7.1880367394785386E-004                  3.1212795394656301E-001                  7.1880367394785386E-004                  3.1212795394656301E-001                  2.1723481338772892E+010                  2.6943239707616948E+002                 -2.3400166034710939E+000                  4.5943752737953494E+000                 -6.1898439417980988E+000                  3.2286156575298510E+000                  6.6666666666666663E-001                  4.7117533885771810E+000                 -2.1685427016308231E-001                  1.2451815523306072E+001                  2.8325235307216632E+000                  4.0958308271997499E+000                  1.0558486622571941E+000                  2.6144989783670003E-001                  1.1041988713570134E+001                  1.5520919971498005E+043                  2.0564028473694613E-002                                        0                                        0                                     7503 
                                     108                  2.8392007658788907E+003                  9.5769185209712961E-004                  2.3014911244775460E+000                                      465                  3.3641170802841596E+000                  5.5870359132524436E+000                  3.0353289924822413E-001                  8.7678521786363035E+000                  7.5246529052689167E-005                  1.3005018710500149E+000                  3.2158113319003477E+005                  2.9234152637476051E+008                  2.8490628930224995E+002                  5.3901835497642496E+000                  3.3334315418682934E+000                 -5.5005186175238237E+000                  7.5246536811204433E-005                  6.0016019668380300E+000                  3.4307173441290799E+000                 -4.9947346941536308E+000                  7.5246488562821727E-005                  0.0000000000000000E+000                  7.5246547694047237E-005                  1.6928547982297882E+003                  7.1801936245583062E-004                  3.1195180056539468E-001                  7.1801936245583062E-004                  3.1195180056539468E-001                  2.1711221415750340E+010                  2.6973676991805127E+002                 -2.3399477005017340E+000                  4.5947967083268395E+000                 -6.1894260304420037E+000                  3.2286197088284059E+000                  6.6666666666666663E-001                  4.7118252855968219E+000                 -2.1651629856005886E-001                  1.2452322862445611E+001                  2.8340252757072437E+000                  4.0962152544694064E+000                  1.0556706237792963E+000                  2.5974713889283524E-001                  1.1041253395960435E+001                  1.5520243342664527E+043                  2.0544265361400471E-002                                        0                                        0                                     7503 
                                     110                  3.3677616878557269E+003                  9.5769185209712961E-004                  2.4598536165727953E+000                                      465                  3.3641880352014013E+000                  5.5883664516453155E+000                  3.0328692580131894E-001                  8.7675138763337248E+000                  7.4991609975734040E-005                  1.3016041613009639E+000                  3.2159880397938035E+005                  2.9191524554139483E+008                  2.8536860926493353E+002                  5.3907617366344081E+000                  3.3334084644324951E+000                 -5.4999147931737227E+000                  7.4991617734625063E-005                  6.0022398983771765E+000                  3.4306893080739682E+000                 -4.9940556602459214E+000                  7.4991569730985846E-005                  0.0000000000000000E+000                  7.4991630043447414E-005                  1.6928773026250255E+003                  7.1689546096876571E-004                  3.1169927160189359E-001                  7.1689546096876571E-004                  3.1169927160189359E-001                  2.1693645904948589E+010                  2.7017401149027671E+002                 -2.3398492336285655E+000                  4.5954016599028078E+000                 -6.1888265155574267E+000                  3.2286254821940350E+000                  6.6666666666666663E-001                  4.7119282864646008E+000                 -2.1603147252592766E-001                  1.2453050408091444E+001                  2.8361831712722769E+000                  4.0967680738485193E+000                  1.0554152879118914E+000                  2.5938371973359436E-001                  1.1040217526787458E+001                  1.5519266380172189E+043                  2.0516823778378320E-002                                        0                                        0                                     7503 
                                     112                  4.1288894155023727E+003                  9.5769185209712961E-004                  2.6182161086680451E+000                                      465                  3.3642893294037552E+000                  5.5902709642249553E+000                  3.0293523708380649E-001                  8.7670290917667621E+000                  7.4628597029955087E-005                  1.3031814402968547E+000                  3.2162437025104265E+005                  2.9130666198431855E+008                  2.8603158381704503E+002                  5.3915927221107962E+000                  3.3333753605246357E+000                 -5.4990471124672178E+000                  7.4628604786608426E-005                  6.0031571183952579E+000                  3.4306495459363910E+000                 -4.9930801524905464E+000                  7.4628557126767237E-005                  0.0000000000000000E+000                  7.4628609342402590E-005                  1.6929092985531672E+003                  7.1528958744456795E-004                  3.1133819777753496E-001                  7.1528958744456795E-004                  3.1133819777753496E-001                  2.1668515888920879E+010                  2.7080104236907493E+002                 -2.3397092819226328E+000                  4.5962684685323136E+000                 -6.1879698763849476E+000                  3.2286336904225341E+000                  6.6666666666666663E-001                  4.7120752837303757E+000                 -2.1533807124041021E-001                  1.2454091307022374E+001                  2.8392741453647603E+000                  4.0975618235180828E+000                  1.0550504848361009E+000                  2.5836770791887531E-001                  1.1038686328394792E+001                  1.5517851275731837E+043                  2.0477682168268653E-002                                        0                                        0                                     7503 
                                     114                  5.2249133433135412E+003                  9.5769185209712961E-004                  2.7765786007632949E+000                                      465                  3.3644336337634750E+000                  5.5929909275168024E+000                  3.0243378681844740E-001                  8.7663354275017067E+000                  7.4114118505199078E-005                  1.3054328328732121E+000                  3.2166050545440178E+005                  2.9043880298037368E+008                  2.8698087934822854E+002                  5.3927862563310951E+000                  3.3333281231664791E+000                 -5.4978011726581029E+000                  7.4114126249316952E-005                  6.0044755194567898E+000                  3.4305936680303390E+000                 -4.9916792640101546E+000                  7.4114079140435594E-005                  0.0000000000000000E+000                  7.4114139235566397E-005                  1.6929547782157131E+003                  7.1300240388795966E-004                  3.1082333683967994E-001                  7.1300240388795966E-004                  3.1082333683967994E-001                  2.1632682597368046E+010                  2.7169891802218211E+002                 -2.3395082950604511E+000                  4.5975050585974051E+000                 -6.1867450372699384E+000                  3.2286453574983742E+000                  6.6666666666666663E-001                  4.7122848103638058E+000                 -2.1434749586752799E-001                  1.2455577965013983E+001                  2.8436933279037464E+000                  4.0987004556144173E+000                  1.0545295283198353E+000                  2.5627308986893294E-001                  1.1036530545503716E+001                  1.5515804864734964E+043                  2.0421887845075343E-002                                        0                                        0                                     7503 
                                     116                  6.8031877993616235E+003                  9.5769185209712961E-004                  2.9349410928585442E+000                                      465                  3.3646377244473924E+000                  5.5968604979171186E+000                  3.0172205539441344E-001                  8.7653456070713105E+000                  7.3390113693634111E-005                  1.3086320462570951E+000                  3.2171250466778671E+005                  2.8920867326015937E+008                  2.8833639322327627E+002                  5.3944987810285614E+000                  3.3332604948528548E+000                 -5.4960136515628681E+000                  7.3390121429742265E-005                  6.0063691749016330E+000                  3.4305158642219258E+000                 -4.9896711338472821E+000                  7.3390075024842039E-005                  0.0000000000000000E+000                  7.3390132713601597E-005                  1.6930181740949124E+003                  7.0975972167887456E-004                  3.1009250618145856E-001                  7.0975972167887456E-004                  3.1009250618145856E-001                  2.1581818245217152E+010                  2.7298111534507285E+002                 -2.3392243385327420E+000                  4.5992657965542287E+000                 -6.1850007330387893E+000                  3.2286616201684559E+000                  6.6666666666666663E-001                  4.7125815818620396E+000                 -2.1293810617125944E-001                  1.2457692215776042E+001                  2.8500035846233365E+000                  4.1003337234546331E+000                  1.0537894642353052E+000                  2.5356564801742992E-001                  1.1033421928094093E+001                  1.5512825896920453E+043                  2.0342921634366216E-002                                        0                                        0                                     7503 
                                     118                  9.0759030160708644E+003                  9.5769185209712961E-004                  3.0933035849537940E+000                                      465                  3.3649245948537176E+000                  5.6023390511156963E+000                  3.0071768965862689E-001                  8.7639386735398670E+000                  7.2380562956755792E-005                  1.3131556828817463E+000                  3.2178565934926341E+005                  2.8747536942475981E+008                  2.9026563658067528E+002                  5.3969511551920508E+000                  3.3331641744800420E+000                 -5.4934544720160421E+000                  7.2380570678693803E-005                  6.0090850916291894E+000                  3.4304090446926279E+000                 -4.9867965813783197E+000                  7.2380525256709080E-005                  0.0000000000000000E+000                  7.2380585812330375E-005                  1.6931064995828317E+003                  7.0519306950880053E-004                  3.0906106754190610E-001                  7.0519306950880053E-004                  3.0906106754190610E-001                  2.1510032178781582E+010                  2.7480621164200801E+002                 -2.3388223648083777E+000                  4.6017577635020785E+000                 -6.1825299732761714E+000                  3.2286842769077797E+000                  6.6666666666666663E-001                  4.7129992006408052E+000                 -2.1094364589602260E-001                  1.2460684040435098E+001                  2.8589648866653437E+000                  4.1026683062111058E+000                  1.0527438914775844E+000                  2.4976045778274769E-001                  1.1029007237288939E+001                  1.5508480696420356E+043                  2.0231756219717251E-002                                        0                                        0                                     7503 
