                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49 
                    model_number                         star_age                        star_mass                           log_dt                        num_zones                      cz_top_logT                      cz_top_logP                    cz_top_radius          cz_top_log_radial_depth                cz_top_luminosity                   cz_top_log_tau                    cz_top_csound              cz_top_scale_height                      cz_top_grav                        tau10_lgP                        tau10_lgT                      tau10_lgRho                          tau10_L                       tau100_lgP                       tau100_lgT                     tau100_lgRho                         tau100_L                          extra_L                eps_grav_integral                      effective_T                    photosphere_L                    photosphere_r                       luminosity                           radius                        radius_cm                          gravity                 log_surf_opacity                log_surf_pressure                 log_surf_density             log_surf_temperature            surface_optical_depth                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                  center_eps_grav                   center_entropy                        e_thermal          max_conv_vel_div_csound                      num_retries                      num_backups                   version_number 
                             103          2.1206913522652462E+003          9.5726075215350846E-005          2.0816761532951031E+000                              431          3.6861198471703012E+000          9.8036358005253064E+000          5.3237347693529703E-002          9.0134553132534769E+000          6.4728396674106533E-011          7.2663336211614968E+000          5.2855629982715775E+005          2.1967364439701313E+008          9.1874846269197462E+002          5.7772013477512250E+000          2.6709108402576076E+000         -4.4492860820674123E+000          3.7959242038717334E-008          6.2232225753842538E+000          2.8041043395382088E+000         -4.1365703531550126E+000          3.7956233153373325E-008          0.0000000000000000E+000          3.7959798582560401E-008          3.0904588821155482E+002          3.7960222873499777E-008          6.8057700881129959E-002          3.7960222873499777E-008          6.8057700881129959E-002          4.7366798659248829E+009          5.6645453635847866E+002         -2.4792156219859520E+000          5.0562894220968344E+000         -4.9892154718077091E+000          2.4900229697724909E+000          6.6666666666666663E-001          4.2066045600979649E+000         -6.5632492180850717E+000          1.2187703982462100E+001          5.4731927990913389E+000          1.3669872094065385E+001          1.9213702207803720E+000         -1.4336215465504952E-004          8.2507872507680400E+000          7.6612675480579826E+040          7.4690674596700505E-003                                0                                0                             6794 
                             104          2.2655209749835412E+003          9.5726075215350846E-005          2.1608573993427278E+000                              431          3.6897746397763864E+000          9.8238126100564198E+000          5.3090180624008255E-002          9.0172047670571782E+000          6.4676435010586897E-011          7.2884653218905209E+000          5.3288984515523131E+005          2.2135767745767748E+008          9.2358003920584770E+002          5.7780475305020813E+000          2.6705304838807833E+000         -4.4480592942194477E+000          3.7733710696814075E-008          6.2237821288005799E+000          2.8036398769942394E+000         -4.1355457473745600E+000          3.7730854028050702E-008          0.0000000000000000E+000          3.7734245701415458E-008          3.0862805231453734E+002          3.7734643602711087E-008          6.8039038308318270E-002          3.7734643602711087E-008          6.8039038308318270E-002          4.7353809881823349E+009          5.6676532702018346E+002         -2.4790933132549759E+000          5.0564053278148107E+000         -4.9885123240021150E+000          2.4894353981098725E+000          6.6666666666666663E-001          4.2066049745620742E+000         -6.5632492180848772E+000          1.2187705114682666E+001          5.4732118797302247E+000          1.3669864172374444E+001          1.9213681215047824E+000         -8.6680812192176527E-005          8.2507872507680400E+000          7.6611535332649567E+040          7.4502142652958774E-003                                0                                0                             6794 
                             106          2.6478711789598410E+003          9.5726075215350846E-005          2.3192198914379776E+000                              431          3.6898062219627805E+000          9.8239871302389989E+000          5.3089073221352152E-002          9.0159158175600727E+000          6.4685089523256465E-011          7.2875991099597623E+000          5.3292746235739847E+005          2.2137357905530357E+008          9.2361857013485746E+002          5.7800792973263055E+000          2.6696183725931748E+000         -4.4451167755144967E+000          3.7196836101305180E-008          6.2251351556052050E+000          2.8025285865247223E+000         -4.1330821554943409E+000          3.7194325505858998E-008          0.0000000000000000E+000          3.7195375323943575E-008          3.0762682896756235E+002          3.7197659440581898E-008          6.7993629726894406E-002          3.7197659440581898E-008          6.7993629726894406E-002          4.7322206417323971E+009          5.6752259217334904E+002         -2.4788041115187758E+000          5.0566960072892231E+000         -4.9868099032677113E+000          2.4880242087772015E+000          6.6666666666666663E-001          4.2066058047312014E+000         -6.5632492180843078E+000          1.2187708016069113E+001          5.4732641935348507E+000          1.3669853633759502E+001          1.9213634043931953E+000          2.2201147873708712E-004          8.2507889031666295E+000          7.6608547021769027E+040          7.4041805202547089E-003                                0                                0                             6794 
                             108          3.1984554726857123E+003          9.5726075215350846E-005          2.4775823835332269E+000                              431          3.6898505142766536E+000          9.8242319337488517E+000          5.3087517858709139E-002          9.0143305534420559E+000          6.4673254411554562E-011          7.2865772377223168E+000          5.3298032665269426E+005          2.2139575085705584E+008          9.2367269143954763E+002          5.7825102586064157E+000          2.6685299887452216E+000         -4.4415970569511583E+000          3.6563249033107723E-008          6.2267757989843977E+000          2.8012082899945274E+000         -4.1301219838457470E+000          3.6561210023039931E-008          0.0000000000000000E+000          3.6561758484028549E-008          3.0643401307790884E+002          3.6563921023401317E-008          6.7937768843177135E-002          3.6563921023401317E-008          6.7937768843177135E-002          4.7283328359474421E+009          5.6845625094552031E+002         -2.4784700870897591E+000          5.0570758745776381E+000         -4.9847417945651422E+000          2.4863369687680579E+000          6.6666666666666663E-001          4.2066062542843845E+000         -6.5632492180834516E+000          1.2187712120651634E+001          5.4733235144615175E+000          1.3669861898070053E+001          1.9213589447736732E+000          4.0039273902024621E-004          8.2507872507680400E+000          7.6604301866352996E+040          7.3463522872034056E-003                                0                                0                             6794 
                             110          3.9912968556509672E+003          9.5726075215350846E-005          2.6359448756284767E+000                              431          2.5719131071413774E+000          5.4589991219034513E+000          6.7667432070616845E-002          7.2795158433367018E+000          3.6622474475504902E-008          3.4054336837975424E-001          1.3822909653837094E+005          2.3275090160652634E+007          5.7300713141979611E+002          5.7822915561144415E+000          2.6686358921806841E+000         -4.4419218481703933E+000          3.6622463721076522E-008          6.2266448122837010E+000          2.8013400287764325E+000         -4.1303848535486436E+000          3.6622417358453616E-008          0.0000000000000000E+000          3.6622439162065540E-008          3.0654954775252821E+002          3.6622479062352272E-008          6.7940907985336946E-002          3.6622479062352272E-008          6.7940907985336946E-002          4.7285513139634809E+009          5.6840372224634484E+002         -2.4784877300645864E+000          5.0570533843351653E+000         -4.9849277593615664E+000          2.4865006797562672E+000          6.6666666666666663E-001          4.2066064409519743E+000         -6.5632492180814523E+000          1.2187720100842462E+001          5.4734473347663872E+000          1.3669908773792196E+001          1.9213515764474860E+000          5.8108600281054409E-004          8.2507715136552662E+000          7.6600765311014665E+040          7.3142614661302358E-003                                0                                0                             6794 
                             112          5.1329884471209343E+003          9.5726075215350846E-005          2.7943073677237265E+000                              431          2.5718618524080266E+000          5.4590945130884405E+000          6.7662218927164924E-002          7.2794526932829342E+000          3.6593829841844862E-008          3.4063011934153725E-001          1.3822096007120886E+005          2.3268728482674658E+007          5.7309543131589794E+002          5.7824118478562552E+000          2.6685922757509402E+000         -4.4417579674066108E+000          3.6593819431630813E-008          6.2267484767357288E+000          2.8012916471696552E+000         -4.1302330904400719E+000          3.6593774551707039E-008          0.0000000000000000E+000          3.6593790462276194E-008          3.0650143610031972E+002          3.6593834282733401E-008          6.7935655079088358E-002          3.6593834282733401E-008          6.7935655079088358E-002          4.7281857221943913E+009          5.6849162562766730E+002         -2.4784576893236356E+000          5.0570905018486290E+000         -4.9848236770601373E+000          2.4864325137287664E+000          6.6666666666666663E-001          4.2066057199630276E+000         -6.5632492180787674E+000          1.2187731478144340E+001          5.4736069226264963E+000          1.3670002757941976E+001          1.9213431143760675E+000          7.4444082588933866E-004          8.2507667925273029E+000          7.6595306728384136E+040          7.3120218707600571E-003                                0                                0                             6794 
                             114          6.7770243388376875E+003          9.5726075215350846E-005          2.9526698598189758E+000                              431          2.5717915014554014E+000          5.4592268903509478E+000          6.7654978724430326E-002          7.2793661045543114E+000          3.6554353312371260E-008          3.4075057951921561E-001          1.3820984287892099E+005          2.3259979379758324E+007          5.7321809927649963E+002          5.7825777945296242E+000          2.6685322344975377E+000         -4.4415318367206611E+000          3.6554343407813056E-008          6.2268919899538737E+000          2.8012251913638049E+000         -4.1300230527494266E+000          3.6554300716379949E-008          0.0000000000000000E+000          3.6554326059176225E-008          3.0643519308739690E+002          3.6554357535436488E-008          6.7928360364658102E-002          3.6554357535436488E-008          6.7928360364658102E-002          4.7276780246594744E+009          5.6861373093718942E+002         -2.4784150123979996E+000          5.0571410962491914E+000         -4.9846793327590211E+000          2.4863386411366615E+000          6.6666666666666663E-001          4.2066043135582989E+000         -6.5632492180748887E+000          1.2187748162307388E+001          5.4738248682022093E+000          1.3670149216331646E+001          1.9213328343629827E+000          6.8883759033887325E-004          8.2507353184097827E+000          7.6587320292544860E+040          7.3089162611916772E-003                                0                                0                             6794 
                             116          9.1444360229098111E+003          9.5726075215350846E-005          3.1110323519142256E+000                              431          2.5716945520179868E+000          5.4594119227731834E+000          6.7644874993671777E-002          7.2792456633242573E+000          3.6499716127631578E-008          3.4091914916404392E-001          1.3819453184165031E+005          2.3247818198820259E+007          5.7338934872810546E+002          5.7828080834346105E+000          2.6684491960610219E+000         -4.4412184010967684E+000          3.6499706507788001E-008          6.2270917008049009E+000          2.8011334181959779E+000         -4.1297312951766711E+000          3.6499665053059750E-008          0.0000000000000000E+000          3.6499673961167124E-008          3.0634357743316457E+002          3.6499720232868488E-008          6.7918180828525229E-002          3.6499720232868488E-008          6.7918180828525229E-002          4.7269695493036985E+009          5.6878419067909874E+002         -2.4783556461718357E+000          5.0572119038600150E+000         -4.9844788366154198E+000          2.4862087796750716E+000          6.6666666666666663E-001          4.2066027413521399E+000         -6.5632492180689823E+000          1.2187772423263432E+001          5.4741609144210814E+000          1.3670354876722451E+001          1.9213167667388906E+000          6.6965385473795845E-004          8.2506864550802650E+000          7.6575673807765007E+040          7.3046812243466605E-003                                0                                0                             6794 
                             118          1.2553508847973666E+004          9.5726075215350846E-005          3.2693948440094753E+000                              431          2.5716036595061236E+000          5.4596055334649520E+000          6.7634290301742311E-002          7.2791304933267860E+000          3.6446121816644995E-008          3.4109654747578338E-001          1.3818013319358876E+005          2.3235655465868458E+007          5.7356883237441741E+002          5.7830365459094422E+000          2.6683690859638092E+000         -4.4409097495343381E+000          3.6446114945144268E-008          6.2272949544543508E+000          2.8010461666753925E+000         -4.1294409747975838E+000          3.6446085337335124E-008          0.0000000000000000E+000          3.6445951787924925E-008          3.0625508666955631E+002          3.6446124753124258E-008          6.7907523668580688E-002          3.6446124753124258E-008          6.7907523668580688E-002          4.7262278322858791E+009          5.6896273053480604E+002         -2.4782938957598803E+000          5.0572864559478381E+000         -4.9842794069737142E+000          2.4860833107413183E+000          6.6666666666666663E-001          4.2066030182531780E+000         -6.5632492180599096E+000          1.2187811603060975E+001          5.4747289395332333E+000          1.3670585629586407E+001          1.9212824612855903E+000          5.8378674369870438E-004          8.2506315333580869E+000          7.6559583694988992E+040          7.2997276957406454E-003                                0                                0                             6794 
